kernel32-amd64-6.1.7601.23677.dll: PE32+ executable (DLL) (console) x86_64 (Fri Feb 10 00:34:46 2017)
  Export KERNEL32.dll
    Ordinal  Hint     Entry      Name
    -------- -------- ---------- --------
    0x0093   0x0092   0x0005b1f0 CreateHardLinkTransactedA
    0x0094   0x0093   0x0005b130 CreateHardLinkTransactedW
    0x0095   0x0094   0x0005ad90 CreateHardLinkW
    0x0096   0x0095   0x00004380 CreateIoCompletionPort
    0x0097   0x0096   0x0005b5e0 CreateJobObjectA
    0x0098   0x0097   0x0005b550 CreateJobObjectW
    0x0099   0x0098   0x00047fa0 CreateJobSet
    0x009a   0x0099   0x00005510 CreateMailslotA
    0x009b   0x009a   0x00005580 CreateMailslotW
    0x009c   0x009b   0x00047350 CreateMemoryResourceNotification
    0x009d   0x009c   0x00015ab0 CreateMutexA
    0x009e   0x009d   0x0004bde0 CreateMutexExA
    0x009f   0x009e   0x0004bdd0 CreateMutexExW
    0x00a0   0x009f   0x0000fc60 CreateMutexW
    0x00a1   0x00a0   0x000621e0 CreateNamedPipeA
    0x00a2   0x00a1   0x00001440 CreateNamedPipeW
    0x00a3   0x00a2   0x000037f0 CreatePipe
    0x00a4   0x00a3   0x0007f460 CreatePrivateNamespaceA
    0x00a5   0x00a4   0x00072540 CreatePrivateNamespaceW
    0x00a6   0x00a5   0x0009a3c0 CreateProcessA
    0x00a7   0x00a6   0x00008cd0 CreateProcessAsUserW
    0x00a8   0x00a7   0x000996f0 CreateProcessInternalA
    0x00a9   0x00a8   0x0001d120 CreateProcessInternalW
    0x00aa   0x00a9   0x0001f9e0 CreateProcessW
    0x00ab   0x00aa   0x0004bd90 CreateRemoteThread
    0x00ac   0x00ab   0x000a9776 CreateRemoteThreadEx
    0x00ad   0x00ac   0x0000d430 CreateSemaphoreA
    0x00ae   0x00ad   0x0000d460 CreateSemaphoreExA
    0x00af   0x00ae   0x0004bd60 CreateSemaphoreExW
    0x00b0   0x00af   0x00008210 CreateSemaphoreW
    0x00b1   0x00b0   0x00075530 CreateSymbolicLinkA
    0x00b2   0x00b1   0x00075690 CreateSymbolicLinkTransactedA
    0x00b3   0x00b2   0x000755d0 CreateSymbolicLinkTransactedW
    0x00b4   0x00b3   0x000750d0 CreateSymbolicLinkW
    0x00b5   0x00b4   0x0008db30 CreateTapePartition
    0x00b6   0x00b5   0x00014e20 CreateThread
    0x00b7   0x00b6   0x0004b330 CreateThreadpool
    0x00b8   0x00b7   0x000050f0 CreateThreadpoolCleanupGroup
    0x00b9   0x00b8   0x00072620 CreateThreadpoolIo
    0x00ba   0x00b9   0x000072a0 CreateThreadpoolTimer
    0x00bb   0x00ba   0x0004b320 CreateThreadpoolWait
    0x00bc   0x00bb   0x00005140 CreateThreadpoolWork
    0x00bd   0x00bc   0x0004bd50 CreateTimerQueue
    0x00be   0x00bd   0x00007550 CreateTimerQueueTimer
    0x00bf   0x00be   0x00001010 CreateToolhelp32Snapshot
    0x00c0   0x00bf   0x00048900 CreateUmsCompletionList
    0x00c1   0x00c0   0x000486d0 CreateUmsThreadContext
    0x00c2   0x00c1   0x00060420 CreateWaitableTimerA
    0x00c3   0x00c2   0x00060390 CreateWaitableTimerExA
    0x00c4   0x00c3   0x0004bd40 CreateWaitableTimerExW
    0x00c5   0x00c4   0x0004ab20 CreateWaitableTimerW
    0x00c6   0x00c5   0x00053f10 CtrlRoutine
    0x00c7   0x00c6   0x00003040 DeactivateActCtx
    0x00c8   0x00c7   0x000660c0 DebugActiveProcess
    0x00c9   0x00c8   0x00076cf0 DebugActiveProcessStop
    0x00ca   0x00c9   0x0004bd30 DebugBreak
    0x00cb   0x00ca   0x00050550 DebugBreakProcess
    0x00cc   0x00cb   0x000504f0 DebugSetProcessKillOnExit
    0x00cd   0x00cc   0x000a97b1 DecodePointer
    0x00ce   0x00cd   0x000a97c8 DecodeSystemPointer
    0x00cf   0x00ce   0x00064ef0 DefineDosDeviceA
    0x00d0   0x00cf   0x0004bd20 DefineDosDeviceW
    0x00d1   0x00d0   0x00058200 DelayLoadFailureHook
    0x00d2   0x00d1   0x00065f90 DeleteAtom
    0x00d3   0x00d2   0x000a97e5 DeleteBoundaryDescriptor
    0x00d4   0x00d3   0x000a9807 DeleteCriticalSection
    0x00d5   0x00d4   0x00007600 DeleteFiber
    0x00d6   0x00d5   0x0000fd80 DeleteFileA
    0x00d7   0x00d6   0x00064540 DeleteFileTransactedA
    0x00d8   0x00d7   0x0004f400 DeleteFileTransactedW
    0x00d9   0x00d8   0x00009640 DeleteFileW
    0x00da   0x00d9   0x000a9826 DeleteProcThreadAttributeList
    0x00db   0x00da   0x00047230 DeleteTimerQueue
    0x00dc   0x00db   0x0004bd10 DeleteTimerQueueEx
    0x00dd   0x00dc   0x00007ab0 DeleteTimerQueueTimer
    0x00de   0x00dd   0x00048800 DeleteUmsCompletionList
    0x00df   0x00de   0x00048700 DeleteUmsThreadContext
    0x00e0   0x00df   0x0006fd90 DeleteVolumeMountPointA
    0x00e1   0x00e0   0x000726c0 DeleteVolumeMountPointW
    0x00e2   0x00e1   0x000488c0 DequeueUmsCompletionListItems
    0x00e3   0x00e2   0x00015060 DeviceIoControl
    0x00e4   0x00e3   0x00015020 DisableThreadLibraryCalls
    0x00e5   0x00e4   0x00046cb0 DisableThreadProfiling
    0x00e6   0x00e5   0x000a986a DisassociateCurrentThreadFromCallback
    0x00e7   0x00e6   0x0004bd00 DisconnectNamedPipe
    0x00e8   0x00e7   0x00050d50 DnsHostnameToComputerNameA
    0x00e9   0x00e8   0x00007c70 DnsHostnameToComputerNameW
    0x00ea   0x00e9   0x00050990 DosDateTimeToFileTime
    0x00eb   0x00ea   0x00060a70 DosPathToSessionPathA
    0x00ec   0x00eb   0x000608f0 DosPathToSessionPathW
    0x00ed   0x00ec   0x00041580 DuplicateConsoleHandle
    0x00ee   0x00ed   0x000145b0 DuplicateHandle
    0x00ef   0x00ee   0x00046ce0 EnableThreadProfiling
    0x00f0   0x00ef   0x000a9887 EncodePointer
    0x00f1   0x00f0   0x000a989e EncodeSystemPointer
    0x00f2   0x00f1   0x00095470 EndUpdateResourceA
    0x00f3   0x00f2   0x00095230 EndUpdateResourceW
    0x00f4   0x00f3   0x000a98bb EnterCriticalSection
    0x00f5   0x00f4   0x000486a0 EnterUmsSchedulingMode
    0x00f6   0x00f5   0x00046320 EnumCalendarInfoA
    0x00f7   0x00f6   0x00046290 EnumCalendarInfoExA
    0x00f8   0x00f7   0x0004b1f0 EnumCalendarInfoExEx
    0x00f9   0x00f8   0x0004bcf0 EnumCalendarInfoExW
    0x00fa   0x00f9   0x0004bce0 EnumCalendarInfoW
    0x00fb   0x00fa   0x000461c0 EnumDateFormatsA
    0x00fc   0x00fb   0x00046160 EnumDateFormatsExA
    0x00fd   0x00fc   0x0004b1e0 EnumDateFormatsExEx
    0x00fe   0x00fd   0x0004bcd0 EnumDateFormatsExW
    0x00ff   0x00fe   0x0004bcc0 EnumDateFormatsW
    0x0100   0x00ff   0x00046110 EnumLanguageGroupLocalesA
    0x0101   0x0100   0x0004bcb0 EnumLanguageGroupLocalesW
    0x0102   0x0101   0x00087880 EnumResourceLanguagesA
    0x0103   0x0102   0x0007f550 EnumResourceLanguagesExA
    0x0104   0x0103   0x0007f620 EnumResourceLanguagesExW
    0x0105   0x0104   0x000878b0 EnumResourceLanguagesW
    0x0106   0x0105   0x000878e0 EnumResourceNamesA
    0x0107   0x0106   0x0007f660 EnumResourceNamesExA
    0x0108   0x0107   0x00019ed0 EnumResourceNamesExW
    0x0109   0x0108   0x00087910 EnumResourceNamesW
    0x010a   0x0109   0x00087940 EnumResourceTypesA
    0x010b   0x010a   0x0007f6f0 EnumResourceTypesExA
    0x010c   0x010b   0x0007f720 EnumResourceTypesExW
    0x010d   0x010c   0x00087970 EnumResourceTypesW
    0x010e   0x010d   0x000460f0 EnumSystemCodePagesA
    0x010f   0x010e   0x0004bca0 EnumSystemCodePagesW
    0x0110   0x010f   0x00062db0 EnumSystemFirmwareTables
    0x0111   0x0110   0x00059900 EnumSystemGeoID
    0x0112   0x0111   0x00046130 EnumSystemLanguageGroupsA
    0x0113   0x0112   0x0004bc90 EnumSystemLanguageGroupsW
    0x0114   0x0113   0x0004bc80 EnumSystemLocalesA
    0x0115   0x0114   0x0004bc70 EnumSystemLocalesEx
    0x0116   0x0115   0x0004bc60 EnumSystemLocalesW
    0x0117   0x0116   0x00046220 EnumTimeFormatsA
    0x0118   0x0117   0x0004b1d0 EnumTimeFormatsEx
    0x0119   0x0118   0x0004bc50 EnumTimeFormatsW
    0x011a   0x0119   0x00046100 EnumUILanguagesA
    0x011b   0x011a   0x0004bc40 EnumUILanguagesW
    0x011c   0x011b   0x0008ee70 EnumerateLocalComputerNamesA
    0x011d   0x011c   0x00089820 EnumerateLocalComputerNamesW
    0x011e   0x011d   0x0008db70 EraseTape
    0x011f   0x011e   0x00049a90 EscapeCommFunction
    0x0120   0x011f   0x00048860 ExecuteUmsThread
    0x0121   0x0120   0x000a98d9 ExitProcess
    0x0122   0x0121   0x000a98f2 ExitThread
    0x0123   0x0122   0x0005da10 ExitVDM
    0x0124   0x0123   0x00006b90 ExpandEnvironmentStringsA
    0x0125   0x0124   0x00015a50 ExpandEnvironmentStringsW
    0x0126   0x0125   0x0006a160 ExpungeConsoleCommandHistoryA
    0x0127   0x0126   0x0006a170 ExpungeConsoleCommandHistoryW
    0x0128   0x0127   0x0004b2a0 FatalAppExitA
    0x0129   0x0128   0x0004b290 FatalAppExitW
    0x012a   0x0129   0x0004c500 FatalExit
    0x012b   0x012a   0x00050a40 FileTimeToDosDateTime
    0x012c   0x012b   0x00009ac0 FileTimeToLocalFileTime
    0x012d   0x012c   0x000097d0 FileTimeToSystemTime
    0x012e   0x012d   0x000541c0 FillConsoleOutputAttribute
    0x012f   0x012e   0x00054220 FillConsoleOutputCharacterA
    0x0130   0x012f   0x000541f0 FillConsoleOutputCharacterW
    0x0131   0x0130   0x00013b50 FindActCtxSectionGuid
    0x0132   0x0131   0x0006f030 FindActCtxSectionStringA
    0x0133   0x0132   0x0001fb10 FindActCtxSectionStringW
    0x0134   0x0133   0x00002a50 FindAtomA
    0x0135   0x0134   0x00019c60 FindAtomW
    0x0136   0x0135   0x0001a590 FindClose
    0x0137   0x0136   0x0004bc30 FindCloseChangeNotification
    0x0138   0x0137   0x0004bbe0 FindFirstChangeNotificationA
    0x0139   0x0138   0x00001d30 FindFirstChangeNotificationW
    0x013a   0x0139   0x0004bc20 FindFirstFileA
    0x013b   0x013a   0x0004bbf0 FindFirstFileExA
    0x013c   0x013b   0x0001ad10 FindFirstFileExW
    0x013d   0x013c   0x00075c50 FindFirstFileNameTransactedW
    0x013e   0x013d   0x00075850 FindFirstFileNameW
    0x013f   0x013e   0x0004fa90 FindFirstFileTransactedA
    0x0140   0x013f   0x0004f9c0 FindFirstFileTransactedW
    0x0141   0x0140   0x0001a5b0 FindFirstFileW
    0x0142   0x0141   0x00076100 FindFirstStreamTransactedW
    0x0143   0x0142   0x00075d10 FindFirstStreamW
    0x0144   0x0143   0x0005c8b0 FindFirstVolumeA
    0x0145   0x0144   0x000703e0 FindFirstVolumeMountPointA
    0x0146   0x0145   0x000701a0 FindFirstVolumeMountPointW
    0x0147   0x0146   0x000608e0 FindFirstVolumeW
    0x0148   0x0147   0x0004bb70 FindNLSString
    0x0149   0x0148   0x0004b170 FindNLSStringEx
    0x014a   0x0149   0x0004bbd0 FindNextChangeNotification
    0x014b   0x014a   0x0004bbc0 FindNextFileA
    0x014c   0x014b   0x00075780 FindNextFileNameW
    0x014d   0x014c   0x000101b0 FindNextFileW
    0x014e   0x014d   0x0004f930 FindNextStreamW
    0x014f   0x014e   0x0005c720 FindNextVolumeA
    0x0150   0x014f   0x00070010 FindNextVolumeMountPointA
