kernel32-x86-5.1.2600.5512.dll: PE32 executable (DLL) (32bits) (console) i386 (Mon Apr 14 08:11:24 2008)
  Export KERNEL32.dll
    Ordinal  Hint     Entry      Name
    -------- -------- ---------- --------
    0x00f9   0x00f8   0x000324ff GetAtomNameW
    0x00fa   0x00f9   0x0006840b GetBinaryType
    0x00fb   0x00fa   0x0006840b GetBinaryTypeA
    0x00fc   0x00fb   0x00067fac GetBinaryTypeW
    0x00fd   0x00fc   0x000378f3 GetCPFileNameFromRegistry
    0x00fe   0x00fd   0x00012306 GetCPInfo
    0x00ff   0x00fe   0x00076467 GetCPInfoExA
    0x0100   0x00ff   0x0007a5ed GetCPInfoExW
    0x0101   0x0100   0x00075d8b GetCalendarInfoA
    0x0102   0x0101   0x00038438 GetCalendarInfoW
    0x0103   0x0102   0x0006bf82 GetComPlusPackageInstallStatus
    0x0104   0x0103   0x000670e9 GetCommConfig
    0x0105   0x0104   0x00065c6d GetCommMask
    0x0106   0x0105   0x00065cf6 GetCommModemStatus
    0x0107   0x0106   0x00065d7f GetCommProperties
    0x0108   0x0107   0x00065e37 GetCommState
    0x0109   0x0108   0x00021510 GetCommTimeouts
    0x010a   0x0109   0x000123ad GetCommandLineA
    0x010b   0x010a   0x00016413 GetCommandLineW
    0x010c   0x010b   0x0005d7a1 GetCompressedFileSizeA
    0x010d   0x010c   0x0005d679 GetCompressedFileSizeW
    0x010e   0x010d   0x00020a8c GetComputerNameA
    0x010f   0x010e   0x00057b03 GetComputerNameExA
    0x0110   0x010f   0x0001f5d9 GetComputerNameExW
    0x0111   0x0110   0x00030ab7 GetComputerNameW
    0x0112   0x0111   0x000704d2 GetConsoleAliasA
    0x0113   0x0112   0x0007096c GetConsoleAliasExesA
    0x0114   0x0113   0x00070672 GetConsoleAliasExesLengthA
    0x0115   0x0114   0x00070665 GetConsoleAliasExesLengthW
    0x0116   0x0115   0x00070951 GetConsoleAliasExesW
    0x0117   0x0116   0x000704a6 GetConsoleAliasW
    0x0118   0x0117   0x00070807 GetConsoleAliasesA
    0x0119   0x0118   0x000705d9 GetConsoleAliasesLengthA
    0x011a   0x0119   0x000705c1 GetConsoleAliasesLengthW
    0x011b   0x011a   0x000707e9 GetConsoleAliasesW
    0x011c   0x011b   0x000744f3 GetConsoleCP
    0x011d   0x011c   0x000755c3 GetConsoleCharType
