kernel32-x86-6.1.7601.23677.dll: PE32 executable (DLL) (32bits) (console) i386 (Fri Feb 10 00:17:35 2017)
  Export KERNEL32.dll
    Ordinal  Hint     Entry      Name
    -------- -------- ---------- --------
    0x00b3   0x00b1   0x0008dce1 CreateSymbolicLinkA
    0x00b4   0x00b2   0x0008dd5e CreateSymbolicLinkTransactedA
    0x00b5   0x00b3   0x0008dc3a CreateSymbolicLinkTransactedW
    0x00b6   0x00b4   0x0008d321 CreateSymbolicLinkW
    0x00b7   0x00b5   0x0009da18 CreateTapePartition
    0x00b8   0x00b6   0x00013475 CreateThread
    0x00b9   0x00b7   0x0003b02a CreateThreadpool
    0x00ba   0x00b8   0x0002ee9f CreateThreadpoolCleanupGroup
    0x00bb   0x00b9   0x0003adec CreateThreadpoolIo
    0x00bc   0x00ba   0x0002ee66 CreateThreadpoolTimer
    0x00bd   0x00bb   0x0002f070 CreateThreadpoolWait
    0x00be   0x00bc   0x0002ee2d CreateThreadpoolWork
    0x00bf   0x00bd   0x0003b018 CreateTimerQueue
    0x00c0   0x00be   0x0002f7d3 CreateTimerQueueTimer
    0x00c1   0x00bf   0x0003733f CreateToolhelp32Snapshot
    0x00c2   0x00c0   0x000953a4 CreateWaitableTimerA
    0x00c3   0x00c1   0x0009520d CreateWaitableTimerExA
    0x00c4   0x00c2   0x00094925 CreateWaitableTimerExW
    0x00c5   0x00c3   0x0003bac3 CreateWaitableTimerW
    0x00c6   0x00c4   0x000b74ac CtrlRoutine
    0x00c7   0x00c5   0x000153fc DeactivateActCtx
    0x00c8   0x00c6   0x000886e6 DebugActiveProcess
    0x00c9   0x00c7   0x00088ae7 DebugActiveProcessStop
    0x00ca   0x00c8   0x00094935 DebugBreak
    0x00cb   0x00c9   0x00088739 DebugBreakProcess
    0x00cc   0x00ca   0x00088760 DebugSetProcessKillOnExit
    0x00cd   0x00cb   0x000ca286 DecodePointer
    0x00ce   0x00cc   0x000ca29d DecodeSystemPointer
    0x00cf   0x00cd   0x0008ae1c DefineDosDeviceA
    0x00d0   0x00ce   0x0009493f DefineDosDeviceW
    0x00d1   0x00cf   0x000af459 DelayLoadFailureHook
    0x00d2   0x00d0   0x0002ce06 DeleteAtom
    0x00d3   0x00d1   0x000ca2ba DeleteBoundaryDescriptor
    0x00d4   0x00d2   0x000ca2dc DeleteCriticalSection
    0x00d5   0x00d3   0x0003b86a DeleteFiber
    0x00d6   0x00d4   0x000153e4 DeleteFileA
    0x00d7   0x00d5   0x0008d20b DeleteFileTransactedA
    0x00d8   0x00d6   0x0008c749 DeleteFileTransactedW
    0x00d9   0x00d7   0x00018953 DeleteFileW
    0x00da   0x00d8   0x000ca2fb DeleteProcThreadAttributeList
    0x00db   0x00d9   0x0009eeb0 DeleteTimerQueue
    0x00dc   0x00da   0x00030622 DeleteTimerQueueEx
    0x00dd   0x00db   0x0002f7bb DeleteTimerQueueTimer
    0x00de   0x00dc   0x0009b4f5 DeleteVolumeMountPointA
    0x00df   0x00dd   0x0009494f DeleteVolumeMountPointW
    0x00e0   0x00de   0x000131cf DeviceIoControl
    0x00e1   0x00df   0x00014885 DisableThreadLibraryCalls
    0x00e2   0x00e0   0x0009f4c0 DisableThreadProfiling
    0x00e3   0x00e1   0x000ca33f DisassociateCurrentThreadFromCallback
    0x00e4   0x00e2   0x0009495f DisconnectNamedPipe
